visitor_id,total_sessions,click_count,num_pageviews,avg_session_duration,days_since_first_session,num_prior_sessions,is_new_visitor,days_since_prior_session,clicks_per_session,pageviews_per_session,days_since_last_activity,frequency,recency_score,frequency_score,duration_score,interaction_score,loyalty_score,engagement_score,segment,cluster,churned,recommendations,engagement_level
1696353664263827579,39,867,594,1.0288384615384616e-05,16,57,0,3,22.23076923076923,15.23076923076923,3,2.2941176470588234,0.24534161490683232,0.45821133883417625,0.008486686525978879,0.022682445759368834,0.13620071684587814,0.21144226393239032,At Risk,3,False,"['Send interactive content poll to boost engagement', 'Personalized email highlighting ""missed"" popular content', 'Limited-time offer for premium feature trial']",Low
1696598735865294746,1,14,14,5.84e-07,0,0,1,0,14.0,14.0,0,1.0,1.0,0.1990950226244344,0.000481730137086869,0.013888888888888888,0.0,0.3226006811625719,High Value,0,False,"['Invite to become a community leader or content contributor', 'Offer early access to premium features or content']",Medium
1696841494162038689,14,304,141,4.3345e-06,24,14,0,15,21.714285714285715,10.071428571428571,15,0.56,0.056677018633540376,0.1109954751131222,0.003575443971238071,0.022130647130647132,0.04659498207885305,0.05582818456525159,Dormant,2,True,"['Re-activation campaign with incentives', 'Survey to understand disengagement reasons']",Very Low
1697380079504458288,1,2,2,1e-08,0,0,1,0,2.0,2.0,0,1.0,1.0,0.1990950226244344,8.248803717240908e-06,0.0010683760683760685,0.0,0.31997344775402004,High Value,0,False,"['Invite to become a community leader or content contributor', 'Offer early access to premium features or content']",Medium
1697387444048367925,1,4,3,8.35e-07,0,0,1,0,4.0,3.0,0,1.0,1.0,0.1990950226244344,0.0006887751103896158,0.003205128205128205,0.0,0.3204915350222601,High Value,0,False,"['Invite to become a community leader or content contributor', 'Offer early access to premium features or content']",Medium
1697387685663170104,1,1,1,0.0,0,1,0,0,1.0,1.0,0,1.0,1.0,0.1990950226244344,0.0,0.0,0.0,0.31975867269984914,High Value,0,False,"['Invite to become a community leader or content contributor', 'Offer early access to premium features or content']",Medium
1697387967217415485,134,743,514,2.562089552238806e-07,181,303,0,9,5.544776119402985,3.8358208955223883,9,0.7362637362637363,0.09440993788819876,0.1462881010392323,0.00021134173822411555,0.004855530042097206,0.4767025089605735,0.1287457631489074,Dormant,1,True,"['Re-activation campaign with incentives', 'Survey to understand disengagement reasons']",Low
1697389079897678011,1,1,2,0.0,0,0,1,0,1.0,2.0,0,1.0,1.0,0.1990950226244344,0.0,0.0,0.0,0.31975867269984914,High Value,0,False,"['Invite to become a community leader or content contributor', 'Offer early access to premium features or content']",Medium
1697389704896512469,1,1,1,0.0,0,0,1,0,1.0,1.0,0,1.0,1.0,0.1990950226244344,0.0,0.0,0.0,0.31975867269984914,High Value,0,False,"['Invite to become a community leader or content contributor', 'Offer early access to premium features or content']",Medium
1697389865237835033,2,7,9,5.15e-08,7,4,0,5,3.5,4.5,5,0.25,0.16149068322981366,0.04892533936651584,4.248133914379067e-05,0.002670940170940171,0.0035842293906810036,0.05712868882385254,Dormant,2,False,"['Re-activation campaign with incentives', 'Survey to understand disengagement reasons']",Very Low
1697391548335288049,1,3,2,4e-09,0,0,1,0,3.0,2.0,0,1.0,1.0,0.1990950226244344,3.299521486896363e-06,0.002136752136752137,0.0,0.3201864630633978,High Value,0,False,"['Invite to become a community leader or content contributor', 'Offer early access to premium features or content']",Medium
